X,Y,X,Y,id,Name,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
205678.748355095,2667718.02744286,120.563992194387,24.114006645076,1,,0,0,0,0,0.00000000000000,326.31062851266427
205700.452456799,2667982.61077699,120.564197613717,24.1163962247587,1,,1,0,0,1,0.00239839282870,6.73618362528233
205754.195946517,2668362.9493198,120.564714694881,24.1198318760668,1,,2,0,0,2,0.00587273778008,10.73060034041304
205832.744123817,2668730.88551882,120.565476207119,24.1231562359819,1,,3,0,0,3,0.00928320251875,15.14334351090043
205936.096988704,2669086.41937404,120.566482167617,24.1263693012337,1,,4,0,0,4,0.01265006230741,17.14751550312329
206035.315738999,2669437.81911469,120.567447629513,24.1295449164175,1,,5,0,0,5,0.01596919599980,16.14038272276757
206130.400374767,2669809.8894283,120.568371837329,24.1329070478883,1,,6,0,0,6,0.01945604100828,19.17894499704072
206266.826156441,2670157.15505434,120.56970359423,24.1360463543081,1,,7,0,0,7,0.02286614676034,19.67497009325404
206366.044906697,2670520.95713876,120.570668830704,24.139333930001,1,,8,0,0,8,0.02629249107870,15.60659165055670
206440.45896943,2670822.74750425,120.571391918407,24.1420609002835,1,,9,0,0,9,0.02911370052643,15.60730946136633
206539.677719691,2671186.54958868,120.572357240829,24.145348463961,1,,10,0,0,10,0.03254005752949,16.03698111649902
206634.762355379,2671550.3516731,120.573281932138,24.148635907085,1,,11,0,0,11,0.03595507382675,15.29957455616515
206725.71287656,2671918.28787211,120.574165865502,24.1519605578828,1,,12,0,0,12,0.03939522514876,13.70366236539762
206800.126939252,2672277.95584195,120.574887365051,24.1552100944559,1,,13,0,0,13,0.04272389598548,15.41069631910235
206911.748033322,2672641.75792637,120.57597491749,24.1584979722315,1,,14,0,0,14,0.04618697417909,18.50341563250318
207023.369127369,2672997.29178159,120.577062770193,24.1617111866144,1,,15,0,0,15,0.04957934358339,18.73962215224610
207143.258450709,2673377.63032441,120.578231309291,24.1651485825776,1,,16,0,0,16,0.05320993232758,18.31615662604098
207250.745430202,2673737.29829424,120.57927846453,24.1683989948982,1,,17,0,0,17,0.05662485756080,20.23375196691162
207383.037097271,2674080.42980568,120.580570278565,24.1715007610465,1,,18,0,0,18,0.05998487790890,22.36943517964133
207515.328764253,2674431.82954631,120.581861910781,24.1746771707722,1,,19,0,0,19,0.06341385625955,22.87692729739122
207655.88866051,2674779.09517236,120.583235104066,24.1778164640981,1,,20,0,0,20,0.06684034460533,25.72371287413439
207821.253244391,2675118.0925692,120.584852742024,24.1808817547261,1,,21,0,0,21,0.07030628736246,28.77127953696904
208019.69074493,2675494.29699742,120.586794898047,24.184283857561,1,,22,0,0,22,0.07422371939361,29.66328859591497
208193.323558046,2675825.02616507,120.5884943233,24.1872746749308,1,,23,0,0,23,0.07766363723086,29.46459184054971
208362.822256398,2676151.62121813,120.590153253785,24.1902280364185,1,,24,0,0,24,0.08105102478376,25.61206443913395
208495.113923495,2676507.15507336,120.591445186736,24.1934416903424,1,,25,0,0,25,0.08451464460870,22.45396522830148
208631.53970511,2676854.42069941,120.592778114954,24.1965807867649,1,,26,0,0,26,0.08792501467436,22.76559657293482
208767.965486761,2677209.95455463,120.594110871053,24.1997945258973,1,,27,0,0,27,0.09140414646711,21.26590627551247
208887.854810041,2677565.48840987,120.595280906685,24.2030078206006,1,,28,0,0,28,0.09482383157398,21.69706284739303
209020.146477107,2677896.21757753,120.596573797561,24.2059974648393,1,,29,0,0,29,0.09808106037943,22.12862474587757
209144.169915062,2678247.61731816,120.597784765118,24.2091735196753,1,,30,0,0,30,0.10148014360045,20.33393768940427
209264.059238261,2678607.28528799,120.598954858416,24.2124241119129,1,,31,0,0,31,0.10493491829976,18.83448281157341
209371.546217767,2678966.95325782,120.600002908154,24.215674373936,1,,32,0,0,32,0.10834997488369,17.77636568446829
209479.033197283,2679330.75534224,120.601050893646,24.2189619553907,1,,33,0,0,33,0.11180054953326,17.21497585743137
209578.251947595,2679686.28919748,120.602017758345,24.2221746615409,1,,34,0,0,34,0.11515559173170,17.63534711108773
209689.873041612,2680045.9571673,120.603106665803,24.225425006489,1,,35,0,0,35,0.11858348638226,18.08212933796833
209805.6282503,2680438.6980539,120.604235409053,24.2289740671899,1,,36,0,0,36,0.12230771693137,21.43210050873357
209958.590490372,2680790.09779453,120.605731717012,24.2321507950832,1,,37,0,0,37,0.12581920345640,24.05136134639699
210090.882157456,2681129.09519137,120.607024907689,24.2352150007317,1,,38,0,0,38,0.12914511662170,22.17046266845439
210223.173824498,2681492.8972758,120.608317473855,24.2385031585786,1,,39,0,0,39,0.13267820440999,24.02815339733757
